codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11315221,EVENTOS / Ma-15 (41.26 - 41.26),"BALEARS, ILLES",1,VILAFRANCA DE BONANY,19/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">Ma-15 </span> </b> en el <b> km 41.26</b> en <b>VILAFRANCA DE BONANY (BALEARS, ILLES)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,3.1197321,41.26,ORDEN PÚBLICO,Ma-15,09:37,1,"Balears, Illes",41.26,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,39.57532,AMARILLO
11315028,EVENTOS / Ma-19 (36.5 - 36.5),"BALEARS, ILLES",1,CAMPOS,19/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">Ma-19 </span> </b> en el <b> km 36.5</b> en <b>CAMPOS (BALEARS, ILLES)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,3.0153353,36.5,ORDEN PÚBLICO,Ma-19,09:29,1,"Balears, Illes",36.5,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,39.436707,AMARILLO
11313681,EVENTOS / A-23 (116.0 - 116.0),TERUEL,1,TERUEL,19/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-23 </span> </b> en el <b> km 116</b> en <b>TERUEL (TERUEL)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-1.0994084,116,ORDEN PÚBLICO,A-23,08:29,1,Aragón,116,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,40.369568,NEGRO
