codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11336116,EVENTOS / N-320 (290.39 - 290.39),GUADALAJARA,1,CABANILLAS DEL CAMPO,21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-320 </span> </b> en el <b> km 290.39</b> en <b>CABANILLAS DEL CAMPO (GUADALAJARA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-3.2059195,290.39,ORDEN PÚBLICO,N-320,07:34,1,Castilla-La Mancha,290.39,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,40.62017,AMARILLO
11336888,EVENTOS / N-6 (57.0 - 57.0),SEGOVIA,1,GUDILLOS,21/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-6 </span> </b> en el <b> km 57</b> en <b>GUDILLOS (SEGOVIA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-4.1423426,57,ORDEN PÚBLICO,N-6,08:20,1,Castilla y León,57,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,40.708023,AMARILLO
11336721,EVENTOS / N-232 (215.0 - 215.0),ZARAGOZA,1,RODEN,21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-232 </span> </b> en el <b> km 215</b> en <b>RODEN (ZARAGOZA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.6731418,215,ORDEN PÚBLICO,N-232,08:11,1,Aragón,215,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,41.53463,AMARILLO
