codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11547183,EVENTOS / A-7 (814.31 - 814.31),ALMERÍA,1,SANTA MARIA DEL AGUILA,12/03/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 814.31</b> en <b>SANTA MARIA DEL AGUILA (ALMERÍA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-2.7490149,814.31,ORDEN PÚBLICO,A-7,11:25,1,Andalucía,814.31,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,36.783985,AMARILLO
11547185,EVENTOS / A-7 (769.0 - 769.0),ALMERÍA,1,ALQUIAN (EL),12/03/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 769</b> en <b>ALQUIAN (EL) (ALMERÍA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-2.3374782,769,ORDEN PÚBLICO,A-7,11:26,1,Andalucía,769,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,36.873936,AMARILLO
11545780,EVENTOS / C-243B (17.5 - 18.0),BARCELONA,1,SANT SADURNI D'ANOIA,12/03/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> con circulación condicionada  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">C-243B </span> </b> a la altura de <b>SANT SADURNI D'ANOIA (BARCELONA)</b> desde el <b> km 17.5</b> al <b> km 18</b> sentido <b>AMBOS SENTIDOS</b> hacia <b>PAS ALTERNATIU</b></span>",?,1.7969278,18,,C-243B,11:19,1,Cataluña,17.5,INC_ACT_EVD_LS4_CAC.png,Incidencia,?,41.42685,VERDE
