codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11370993,EVENTOS / N-232 (62.0 - 62.0),CASTELLÓN/CASTELLÓ,1,SEGONA DEL RIU,23/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-232 </span> </b> en el <b> km 62</b> en <b>SEGONA DEL RIU (CASTELLÓN/CASTELLÓ)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-0.0964362,62,ORDEN PÚBLICO,N-232,18:58,1,Comunitat Valenciana,62,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,40.613293,AMARILLO
11371119,EVENTOS / CV-15 (7.8 - 7.8),CASTELLÓN/CASTELLÓ,1,VALL D'ALBA,23/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">CV-15 </span> </b> en el <b> km 7.8</b> en <b>VALL D'ALBA (CASTELLÓN/CASTELLÓ)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.0279408,7.8,ORDEN PÚBLICO,CV-15,19:01,1,Comunitat Valenciana,7.8,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,40.16951,AMARILLO
11366618,EVENTOS / A-67 (103.0 - 103.0),PALENCIA,1,CAMESA DE VALDIVIA,23/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  - <b>ENTRADA</b> de la carretera  <b> <span style=""color:#ab3000"">A-67 </span> </b> en el <b> km 103</b> en <b>CAMESA DE VALDIVIA (PALENCIA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>AGUILAR DE CAMPOO</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CARRIL DERECHO CERRADO</b></span>",?,-4.244361,103,ORDEN PÚBLICO,A-67,13:27,1,Castilla y León,103,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,42.776535,NO APLICA
