codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11363016,EVENTOS / EX-104 (70.5 - 70.5),BADAJOZ,1,CABEZA DEL BUEY,23/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-104 </span> </b> en el <b> km 70.5</b> en <b>CABEZA DEL BUEY (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.222698,70.5,ORDEN PÚBLICO,EX-104,08:35,1,Extremadura,70.5,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.728107,NEGRO
11363025,EVENTOS / A-7 (1114.0 - 1114.0),CÁDIZ,1,PUENTE ROMANO,23/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 1114</b> en <b>PUENTE ROMANO (CÁDIZ)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>MÁLAGA</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.448438,1114,ORDEN PÚBLICO,A-7,08:38,1,Andalucía,1114,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,36.17883,NEGRO
11362596,EVENTOS / A-7 (1112.0 - 1112.0),CÁDIZ,1,CORTIJILLOS,23/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 1112</b> en <b>CORTIJILLOS (CÁDIZ)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>CÁDIZ</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.433358,1112,ORDEN PÚBLICO,A-7,08:15,1,Andalucía,1112,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,36.19131,NEGRO
