codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11267872,EVENTOS / EX-110 (69.0 - 69.0),BADAJOZ,1,GEVORA,14/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-110 </span> </b> en el <b> km 69</b> en <b>GEVORA (BADAJOZ)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-6.939652,69,ORDEN PÚBLICO,EX-110,09:54,1,Extremadura,69,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,38.928333,AMARILLO
11267954,EVENTOS / N-432 (145.0 - 145.0),BADAJOZ,1,AZUAGA,14/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-432 </span> </b> en el <b> km 145</b> en <b>AZUAGA (BADAJOZ)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-5.685703,145,ORDEN PÚBLICO,N-432,09:55,1,Extremadura,145,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,38.27079,AMARILLO
11267950,EVENTOS / EX-300 (25.0 - 25.0),BADAJOZ,1,TALAVERA LA REAL,14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-300 </span> </b> en el <b> km 25</b> en <b>TALAVERA LA REAL (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-6.710328,25,ORDEN PÚBLICO,EX-300,09:54,1,Extremadura,25,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,38.84748,AMARILLO
11265398,EVENTOS / N-523 (48.9 - 48.9),BADAJOZ,1,ROCA DE LA SIERRA (LA),14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-523 </span> </b> en el <b> km 48.9</b> en <b>ROCA DE LA SIERRA (LA) (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.690635,48.9,ORDEN PÚBLICO,N-523,07:39,1,Extremadura,48.9,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,39.112633,NEGRO
11266686,EVENTOS / EX-363 (8.0 - 8.0),BADAJOZ,1,ALVARADO - LA RISCA,14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-363 </span> </b> en el <b> km 8</b> en <b>ALVARADO - LA RISCA (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.784267,8,ORDEN PÚBLICO,EX-363,08:45,1,Extremadura,8,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.808857,NEGRO
11268669,EVENTOS / EX-104 (19.0 - 19.0),BADAJOZ,1,CAMPANARIO,14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-104 </span> </b> en el <b> km 19</b> en <b>CAMPANARIO (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.62405,19,ORDEN PÚBLICO,EX-104,10:43,1,Extremadura,19,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.864166,NEGRO
11266406,EVENTOS / N-435 (34.0 - 34.0),BADAJOZ,1,ALMENDRAL,14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-435 </span> </b> en el <b> km 34</b> en <b>ALMENDRAL (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.8175526,34,ORDEN PÚBLICO,N-435,08:32,1,Extremadura,34,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.614315,NEGRO
11268886,EVENTOS / EX-346 (30.0 - 30.0),BADAJOZ,1,QUINTANA DE LA SERENA,14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-346 </span> </b> en el <b> km 30</b> en <b>QUINTANA DE LA SERENA (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.682879,30,ORDEN PÚBLICO,EX-346,11:01,1,Extremadura,30,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.753418,NEGRO
11268611,EVENTOS / EX-107 (71.51 - 71.5),BADAJOZ,1,VILLANUEVA DEL FRESNO,14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-107 </span> </b> a la altura de <b>VILLANUEVA DEL FRESNO (BADAJOZ)</b> desde el <b> km 71.51</b> al <b> km 71.5</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-7.2565517,71.5,ORDEN PÚBLICO,EX-107,10:33,1,Extremadura,71.51,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.380684,NEGRO
11265099,EVENTOS / EX-328 (4.1 - 4.1),BADAJOZ,1,MONTIJO,14/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  - <b>CRUCE</b> de la carretera  <b> <span style=""color:#ab3000"">EX-328 </span> </b> en el <b> km 4.1</b> en <b>MONTIJO (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.6102667,4.1,ORDEN PÚBLICO,EX-328,07:23,1,Extremadura,4.1,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.891907,NEGRO
