codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11219258,EVENTOS / N-430 (448.0 - 448.0),ALBACETE,1,VILLARROBLEDO,09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-430 </span> </b> en el <b> km 448</b> en <b>VILLARROBLEDO (ALBACETE)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-2.5743108,448,ORDEN PÚBLICO,N-430,08:48,1,Castilla-La Mancha,448,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,39.0435,AMARILLO
11219859,EVENTOS / EX-209 (60.0 - 60.0),BADAJOZ,1,PRADO (EL),09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-209 </span> </b> en el <b> km 60</b> en <b>PRADO (EL) (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.3692107,60,ORDEN PÚBLICO,EX-209,09:27,1,Extremadura,60,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.938965,NEGRO
11219727,EVENTOS / A-5 (341.0 - 341.0),BADAJOZ,1,PROSERPINA,09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-5 </span> </b> en el <b> km 341</b> en <b>PROSERPINA (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.3616304,341,ORDEN PÚBLICO,A-5,09:14,1,Extremadura,341,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.939728,NEGRO
11219336,EVENTOS / EX-103 (101.5 - 101.5),BADAJOZ,1,ZALAMEA DE LA SERENA,09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-103 </span> </b> en el <b> km 101.5</b> en <b>ZALAMEA DE LA SERENA (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.661074,101.5,ORDEN PÚBLICO,EX-103,08:52,1,Extremadura,101.5,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.672226,NEGRO
11219023,EVENTOS / N-435 (34.0 - 34.0),BADAJOZ,1,ALMENDRAL,09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-435 </span> </b> en el <b> km 34</b> en <b>ALMENDRAL (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.8175526,34,ORDEN PÚBLICO,N-435,08:43,1,Extremadura,34,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,38.614315,NEGRO
11218902,EVENTOS / N-523 (48.9 - 48.9),BADAJOZ,1,ROCA DE LA SIERRA (LA),09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-523 </span> </b> en el <b> km 48.9</b> en <b>ROCA DE LA SIERRA (LA) (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.690635,48.9,ORDEN PÚBLICO,N-523,08:33,1,Extremadura,48.9,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,39.112633,NEGRO
11219277,EVENTOS / N-430 (117.8 - 117.8),BADAJOZ,1,VALDIVIA,09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-430 </span> </b> en el <b> km 117.8</b> en <b>VALDIVIA (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.7158937,117.8,ORDEN PÚBLICO,N-430,08:49,1,Extremadura,117.8,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,39.03595,NEGRO
11219452,EVENTOS / N-523 (51.0 - 51.0),BADAJOZ,1,ROCA DE LA SIERRA (LA),09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-523 </span> </b> en el <b> km 51</b> en <b>ROCA DE LA SIERRA (LA) (BADAJOZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.710033,51,ORDEN PÚBLICO,N-523,08:59,1,Extremadura,51,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,39.10494,NEGRO
11219820,EVENTOS / BU-530 (16.6 - 16.6),BURGOS,1,BARCINA DEL BARCO,09/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">BU-530 </span> </b> en el <b> km 16.6</b> en <b>BARCINA DEL BARCO (BURGOS)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-3.2121296,16.6,ORDEN PÚBLICO,BU-530,09:21,1,Castilla y León,16.6,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,42.779423,AMARILLO
11219546,EVENTOS / N-340 (963.0 - 963.0),CASTELLÓN/CASTELLÓ,1,ALQUERIAS DEL NIÑO PERDIDO,09/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-340 </span> </b> en el <b> km 963</b> en <b>ALQUERIAS DEL NIÑO PERDIDO (CASTELLÓN/CASTELLÓ)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.1189931,963,ORDEN PÚBLICO,N-340,09:04,1,Comunitat Valenciana,963,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,39.900806,AMARILLO
