codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11339323,EVENTOS / N-430 (230.0 - 230.1),CIUDAD REAL,1,PUEBLA DE DON RODRIGO,21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-430 </span> </b> a la altura de <b>PUEBLA DE DON RODRIGO (CIUDAD REAL)</b> desde el <b> km 230</b> al <b> km 230.1</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-4.616424,230.1,ORDEN PÚBLICO,N-430,10:58,1,Castilla-La Mancha,230,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,39.083576,NO APLICA
11344497,EVENTOS / N-601 (136.0 - 136.0),VALLADOLID,1,PURAS,21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-601 </span> </b> en el <b> km 136</b> en <b>PURAS (VALLADOLID)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-4.658078,136,ORDEN PÚBLICO,N-601,18:40,1,Castilla y León,136,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,41.178318,AMARILLO
11344463,EVENTOS / N-601 (136.0 - 136.0),VALLADOLID,1,PURAS,21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-601 </span> </b> en el <b> km 136</b> en <b>PURAS (VALLADOLID)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-4.658078,136,ORDEN PÚBLICO,N-601,18:32,1,Castilla y León,136,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,41.178318,AMARILLO
11344507,EVENTOS / N-601 (136.0 - 136.0),VALLADOLID,1,PURAS,21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-601 </span> </b> en el <b> km 136</b> en <b>PURAS (VALLADOLID)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-4.658078,136,ORDEN PÚBLICO,N-601,18:43,1,Castilla y León,136,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,41.178318,AMARILLO
11344296,EVENTOS / N-2 (390.0 - 391.5),ZARAGOZA,1,BUJARALOZ,21/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-2 </span> </b> a la altura de <b>BUJARALOZ (ZARAGOZA)</b> desde el <b> km 390</b> al <b> km 391.5</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-0.1626046,391.5,ORDEN PÚBLICO,N-2,18:16,1,Aragón,390,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,41.497086,ROJO
