codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11255617,EVENTOS / A-92 (220.16 - 220.16),GRANADA,1,PEÑUELAS,13/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-92 </span> </b> en el <b> km 220.16</b> en <b>PEÑUELAS (GRANADA)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-3.8541489,220.16,ORDEN PÚBLICO,A-92,06:48,1,Andalucía,220.16,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,37.19421,NEGRO
11248205,EVENTOS / N-232 (363.7 - 364.0),"RIOJA, LA",1,MURILLO DE CALAHORRA,12/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-232 </span> </b> desde el <b> km 363.7 </b> en <b>MURILLO DE CALAHORRA (RIOJA, LA)</b> al <b> km 364</b> en <b>PRADEJON (RIOJA, LA)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-2.0008357,364,ORDEN PÚBLICO,N-232,11:50,1,"Rioja, La",363.7,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,42.318836,NO APLICA
11247119,EVENTOS / N-232 (354.0 - 354.1),"RIOJA, LA",1,CALAHORRA,12/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-232 </span> </b> a la altura de <b>CALAHORRA (RIOJA, LA)</b> desde el <b> km 354</b> al <b> km 354.1</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-1.9182055,354.1,ORDEN PÚBLICO,N-232,10:39,1,"Rioja, La",354,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,42.264782,NO APLICA
11255470,EVENTOS / A-4 (459.0 - 458.0),SEVILLA,1,VILLANUEVA DEL REY,13/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-4 </span> </b> a la altura de <b>VILLANUEVA DEL REY (SEVILLA)</b> desde el <b> km 459</b> al <b> km 458</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>MADRID.</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.1323104,458,ORDEN PÚBLICO,A-4,06:29,1,Andalucía,459,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,37.52418,ROJO
11255469,EVENTOS / A-4 (453.0 - 457.0),SEVILLA,1,ECIJA,13/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-4 </span> </b> a la altura de <b>ECIJA (SEVILLA)</b> desde el <b> km 453</b> al <b> km 457</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>SAN FERNANDO.</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.06716,457,ORDEN PÚBLICO,A-4,06:29,1,Andalucía,453,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,37.533264,ROJO
