codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11239731,EVENTOS / A-129 (51.0 - 51.0),HUESCA,1,LANAJA,11/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-129 </span> </b> en el <b> km 51</b> en <b>LANAJA (HUESCA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-0.3347893,51,ORDEN PÚBLICO,A-129,15:23,1,Aragón,51,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,41.77067,AMARILLO
11239631,EVENTOS / A-23 (321.0 - 321.0),ZARAGOZA,1,ONTINAR DE SALZ,11/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-23 </span> </b> en el <b> km 321</b> en <b>ONTINAR DE SALZ (ZARAGOZA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.7555423,321,ORDEN PÚBLICO,A-23,15:23,1,Aragón,321,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,41.912292,AMARILLO
