codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11316599,EVENTOS / Ma-15 (41.26 - 41.26),"BALEARS, ILLES",1,VILAFRANCA DE BONANY,19/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">Ma-15 </span> </b> en el <b> km 41.26</b> en <b>VILAFRANCA DE BONANY (BALEARS, ILLES)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,3.1197321,41.26,ORDEN PÚBLICO,Ma-15,11:12,1,"Balears, Illes",41.26,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,39.57532,AMARILLO
11316583,EVENTOS / Me-1 (42.0 - 42.0),"BALEARS, ILLES",1,TUDONS,19/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">Me-1 </span> </b> en el <b> km 42</b> en <b>TUDONS (BALEARS, ILLES)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,3.8732586,42,ORDEN PÚBLICO,Me-1,11:10,1,"Balears, Illes",42,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,40.007378,AMARILLO
11315864,EVENTOS / Ma-13A (27.44 - 27.44),"BALEARS, ILLES",1,INCA,19/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">Ma-13A </span> </b> en el <b> km 27.44</b> en <b>INCA (BALEARS, ILLES)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,2.9011087,27.44,ORDEN PÚBLICO,Ma-13A,10:12,1,"Balears, Illes",27.44,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,39.70998,AMARILLO
